BLOCKSIZE 32 TIME 0.172
BLOCKSIZE 64 TIME 0.152
BLOCKSIZE 96 TIME 0.154
BLOCKSIZE 128 TIME 0.154
BLOCKSIZE 192 TIME 0.152
BLOCKSIZE 256 TIME 0.153
BLOCKSIZE 320 TIME 0.154
BLOCKSIZE 384 TIME 0.154
BLOCKSIZE 448 TIME 0.155
BLOCKSIZE 512 TIME 0.155
BLOCKSIZE 640 TIME 0.157
BLOCKSIZE 768 TIME 0.158
BLOCKSIZE 896 TIME 0.16
BLOCKSIZE 1024 TIME 0.163

BLOCK TIME
   32 0.172
   64 0.152
   96 0.154
  128 0.154
  192 0.152
  256 0.153
  320 0.154
  384 0.154
  448 0.155
  512 0.155
  640 0.157
  768 0.158
  896 0.16
 1024 0.163
